Question,Reponse
Que sont les données ouvertes?,"Les données ouvertes sont des données numériques diffusées de manière structurée selon une méthode et avec une licence ouverte garantissant leur libre accès et leur réutilisation. Les données ouvertes sont des données brutes, sans mise en forme, généralement extraites de systèmes d’information.
Ce lien ouvrira dans une nouvelle fenêtre."
Qu’est-ce que le portail Données Québec?,"Donneesquebec.ca est un portail commun résultant d’une collaboration entre le gouvernement du Québec et plusieurs municipalités afin de fournir aux citoyens une seule porte d’entrée aux jeux de données ouvertes du Québec.

Plus précisément, le portail vise à :

offrir un meilleur accès aux données ouvertes d’intérêt public;
accorder aux citoyens la possibilité d’interagir avec les organisations diffusant les données;
simplifier l’utilisation et le croisement des données;
mettre en valeur le potentiel des données ouvertes;
accroître la transparence des administrations publiques."
Est-ce que Données Québec s’inscrit dans le cadre du gouvernement ouvert?,"Oui. Le gouvernement ouvert se base sur quatre principes clés : la transparence, l’innovation, la participation et la collaboration. Plus précisément, le portail vise à :offrir un meilleur accès aux données ouvertes d’intérêt public;accorder aux citoyens la possibilité d’interagir avec les organisations qui diffusent les données;simplifier l’utilisation et le croisement des données;mettre en valeur le potentiel des données ouvertes;accroître la transparence des administrations publiques.Données Québec a été lancé en 2016 dans le cadre de la Stratégie gouvernementale en technologies de l’information, dont l’axe 4 visait à rapprocher l’État des citoyens. Par la suite, de nombreuses actions en matière de gouvernement ouvert ont été mises de l’avant par les partenaires de Données Québec. Voyez celles du gouvernement du Québec sur Québec.ca/GouvernementOuvert."
Comment diffuser des données ouvertes?,"La diffusion de données ouvertes s’effectue en quatre étapes :Contacter Données Québec. Dès le début de la réflexion, il est important de signifier son intérêt à pilote@donneesquebec.ca afin de disposer de toute l’information nécessaire à la diffusion :Pour les organismes publics du gouvernement du Québec, votre adhésion est automatique.Pour les municipalités, le formulaire d’adhésion à l’entente pour les municipalités doit être signé et nous être transmis. Il est souhaitable qu’une résolution du conseil municipal soit obtenue pour désigner le signataire de l’entente.Pour les autres organisations, le formulaire d’adhésion pour les organismes doit être signé par la personne autorisée et nous être transmis.Identifier et prioriser les données à hautes valeur de réutilisation. Le Guide de priorisation et de diffusion des données ouvertes a pour objectif d’orienter et d’accompagner les organismes publics du gouvernement du Québec dans l’identification et la priorisation. Les autres organisations peuvent également s’en inspirer.Préparer les jeux de données en respectant les normes techniques. Le document Lignes directrices sur la diffusion de données ouvertesCe lien ouvrira dans une nouvelle fenêtre. présente les normes techniques auxquelles les données doivent correspondre afin d’être déposées sur le portail. Les normes retenues sont le produit d’un travail collaboratif entre des organisations diffusant sur Données Québec et elles s’inspirent fortement des standards internationaux en matière de données ouvertes.Diffuser les jeux sur Données Québec. Lors de leur adhésion, les organisations se verront assigner un compte sur Données Québec. Au besoin, de la documentation est disponible pour appuyer les diffuseurs dans la mise en ligne de jeux de données."
Que sont les données d’intérêt pour le public?,"La Charte internationale sur les données ouvertesCe lien ouvrira dans une nouvelle fenêtre.  énonce que les données ouvertes permettent notamment de renforcer les externalités économiques positives et le développement social pour tous les membres de la société. Dans cette perspective, les données ouvertes représentent un bien public de premier plan dont les citoyens peuvent se servir pour produire de la valeur, adopter de nouvelles perspectives, formuler des idées et créer de nouveaux services.

C’est sur cette définition que Données Québec se base pour admettre un nouveau diffuseur de la société civile."
Est-ce que de nouvelles données ouvertes seront publiées dans ce site dans l’avenir?,"Le site est évolutif.Au fil du temps, de nouveaux jeux de données ouvertes, de même que de nouvelles applications, seront ajoutés.Abonnez-vous au fil RSS pour être au courant des nouveautés."
Suis-je au bon endroit pour obtenir de l’information sur les services gouvernementaux ou municipaux?,"Le site Données Québec concerne les données ouvertes et leur exploitation. Si vous avez des questions à propos d’un service public offert par un organisme gouvernemental ou municipal et qui ne concerne pas les données ouvertes, nous vous suggérons de vous adresser à l’organisme public ou à la municipalité en question par l’intermédiaire de leur site officiel."
Quelle structure technologique supporte Données Québec?,"Données Québec est basé sur le logiciel libre CKAN  supporté par la fondation internationale Open Knowledge Foundation . CKAN est utilisé par des gouvernements locaux et nationaux ainsi que des groupes d’utilisateurs dans le monde entier, qui veulent mettre à la disposition des citoyens leurs données, en plus de permettre le fonctionnement d’une variété de portails officiels et communautaires. Vous pouvez accéder au code source ayant servi à la conception du portail en cliquant ici .


L’environnement graphique du site repose sur le logiciel libre WordPress . Ce logiciel est un système de gestion de contenu, ou CMS (content management system), utilisé dans le monde entier autant pour des blogues personnels et des sites commerciaux que pour des portails gouvernementaux.

La solution Infrastructure géomatique ouverte(IGO)  permet quant à elle de tirer profit d’une multitude de données géographiques ouvertes disponibles sur ce site (patrimoine culturel, territoires agricoles, casernes) grâce à une interface cartographique accessible par un navigateur Web.

Des statistiques de fréquentation du portail sont compilées à l’aide de Google Analytics . La compilation de statistiques de fréquentation est conforme à notre politique de confidentialité."
Qu’est-ce qu’une métadonnée?,"Une métadonnée est une donnée servant à définir ou à décrire une autre donnée Elle constitue un élément d’information précis sur une donnée, par exemple : qui est l’organisation qui la diffuse, quels sont les mots-clés associés, etc."
Les jeux de données publiés sur ce site peuvent-ils contenir des renseignements personnels?,Non. Les données permettant d’identifier des individus sont retirées des jeux de données avant leur mise en ligne.
